datetime,open,high,low,close,tick_volume,spread_points
2026-07-01 00:00:00+00:00,58539.82,59227.35,57701.24,59096.86,23037,1000
2026-07-01 04:00:00+00:00,59105.12,59377.78,58440.85,58688.91,12005,1000
2026-07-01 08:00:00+00:00,58687.49,59019.97,58408.69,58536.99,11488,1000
2026-07-01 12:00:00+00:00,58536.88,60482.77,58241.38,60082.33,33092,1000
2026-07-01 16:00:00+00:00,60089.56,60296.04,59719.85,59970.45,13312,1000
2026-07-01 20:00:00+00:00,59970.19,61287.93,59806.49,59966.85,15664,1000
2026-07-02 00:00:00+00:00,59972.93,61061.06,59517.92,60990.29,16278,1000
2026-07-02 04:00:00+00:00,60988.71,60988.71,60018.73,60064.24,12175,1000
2026-07-02 08:00:00+00:00,60061.40,61356.60,60051.93,61276.87,18903,1000
2026-07-02 12:00:00+00:00,61275.18,62147.41,61059.26,61547.80,33719,1000
2026-07-02 16:00:00+00:00,61547.36,61877.42,61079.84,61420.40,16288,1000
2026-07-02 20:00:00+00:00,61416.99,61593.02,61264.13,61488.71,7023,1000
2026-07-03 00:00:00+00:00,61482.84,61658.11,61165.23,61345.52,12044,1000
2026-07-03 04:00:00+00:00,61347.37,61800.66,61255.18,61681.75,8662,1000
2026-07-03 08:00:00+00:00,61684.29,62035.25,61436.40,61939.12,11176,1000
2026-07-03 12:00:00+00:00,61938.62,62344.50,61619.29,61868.07,14338,1000
2026-07-03 16:00:00+00:00,61864.97,62263.10,61842.75,62143.81,8213,1000
2026-07-03 20:00:00+00:00,62150.49,62910.96,62124.40,62520.53,10426,1000
2026-07-04 00:00:00+00:00,62522.17,62890.49,62338.41,62566.97,8075,1000
2026-07-04 04:00:00+00:00,62570.11,62701.47,62268.41,62509.25,6689,1000
2026-07-04 08:00:00+00:00,62506.06,62623.99,62348.72,62422.51,5725,1000
2026-07-04 12:00:00+00:00,62426.13,63043.93,62425.62,62883.15,9347,1000
2026-07-04 16:00:00+00:00,62883.14,63420.49,62724.98,63234.42,10413,1000
2026-07-04 20:00:00+00:00,63240.05,63403.30,62874.26,63093.30,7374,1000
2026-07-05 00:00:00+00:00,63090.19,63091.66,62534.51,62711.60,8305,1000
2026-07-05 04:00:00+00:00,62712.08,63000.94,62599.07,62956.51,7070,1000
2026-07-05 08:00:00+00:00,62958.84,63051.01,62370.87,62596.57,7930,1000
2026-07-05 12:00:00+00:00,62598.09,62895.44,62498.61,62686.46,7433,1000
2026-07-05 16:00:00+00:00,62684.31,62837.54,62528.10,62714.13,6618,1000
2026-07-05 20:00:00+00:00,62709.64,63954.96,62549.71,63581.14,13345,1000
2026-07-06 00:00:00+00:00,63581.65,63868.22,63070.09,63235.04,14683,1000
2026-07-06 04:00:00+00:00,63236.38,63336.17,62819.93,63017.33,9347,1000
2026-07-06 08:00:00+00:00,63017.49,63181.69,62425.30,62432.10,8910,1000
2026-07-06 12:00:00+00:00,62428.68,63505.76,61251.88,63499.87,35889,1000
2026-07-06 16:00:00+00:00,63498.05,63944.82,63337.41,63697.85,17747,1000
2026-07-06 20:00:00+00:00,63697.28,64669.63,63535.80,64001.62,14391,1000
2026-07-07 00:00:00+00:00,64001.57,64279.39,63097.51,63145.72,13782,1000
2026-07-07 04:00:00+00:00,63144.13,63403.92,62727.47,63031.10,9966,1000
2026-07-07 08:00:00+00:00,63031.31,63402.99,62921.45,63343.32,8593,1000
2026-07-07 12:00:00+00:00,63343.40,64070.44,62605.24,63889.07,32886,1000
2026-07-07 16:00:00+00:00,63891.78,64204.67,63334.50,63782.62,17707,1000
2026-07-07 20:00:00+00:00,63777.22,63864.32,63163.80,63313.83,10363,1000
2026-07-08 00:00:00+00:00,63319.56,63727.55,62472.12,62725.19,14955,1000
2026-07-08 04:00:00+00:00,62727.58,62857.57,62413.06,62826.88,10886,1000
2026-07-08 08:00:00+00:00,62828.26,62899.31,61670.82,62247.51,19477,1000
2026-07-08 12:00:00+00:00,62251.37,62372.34,61468.97,61633.46,21998,1000
2026-07-08 16:00:00+00:00,61635.15,62349.83,61619.75,62216.88,13021,1000
2026-07-08 20:00:00+00:00,62226.79,62307.05,61896.29,62239.37,9061,1000
2026-07-09 00:00:00+00:00,62237.97,62599.20,61633.32,61912.43,14645,1000
2026-07-09 04:00:00+00:00,61916.24,63235.06,61901.18,62949.18,12672,1000
2026-07-09 08:00:00+00:00,62947.30,63049.93,62547.96,62720.78,9514,1000
2026-07-09 12:00:00+00:00,62720.30,63207.64,62393.52,62808.20,23526,1000
2026-07-09 16:00:00+00:00,62807.15,63458.11,62493.65,63196.19,15840,1000
2026-07-09 20:00:00+00:00,63198.61,63378.51,63006.50,63171.85,16152,1000
2026-07-10 00:00:00+00:00,63172.21,64005.66,62864.56,63897.11,20340,1000
