datetime,open,high,low,close,tick_volume,spread_points
2026-07-01 00:00:00+00:00,1.14128,1.14139,1.14082,1.14093,1280,8
2026-07-01 01:00:00+00:00,1.14093,1.14093,1.14023,1.14039,1353,8
2026-07-01 02:00:00+00:00,1.14039,1.14078,1.14023,1.14051,1181,8
2026-07-01 03:00:00+00:00,1.14052,1.14080,1.14013,1.14039,948,8
2026-07-01 04:00:00+00:00,1.14040,1.14105,1.14022,1.14081,1040,8
2026-07-01 05:00:00+00:00,1.14082,1.14103,1.14027,1.14056,1045,8
2026-07-01 06:00:00+00:00,1.14056,1.14094,1.13999,1.14027,1701,8
2026-07-01 07:00:00+00:00,1.14027,1.14037,1.13928,1.14019,2019,8
2026-07-01 08:00:00+00:00,1.14017,1.14035,1.13937,1.13963,1927,8
2026-07-01 09:00:00+00:00,1.13962,1.13991,1.13848,1.13877,1989,8
2026-07-01 10:00:00+00:00,1.13877,1.14000,1.13859,1.13977,1326,8
2026-07-01 11:00:00+00:00,1.13976,1.13986,1.13843,1.13853,1865,8
2026-07-01 12:00:00+00:00,1.13854,1.13878,1.13688,1.13707,2935,8
2026-07-01 13:00:00+00:00,1.13709,1.14117,1.13614,1.13953,6980,8
2026-07-01 14:00:00+00:00,1.13950,1.14051,1.13844,1.13950,5001,8
2026-07-01 15:00:00+00:00,1.13952,1.13957,1.13784,1.13836,3491,8
2026-07-01 16:00:00+00:00,1.13837,1.13937,1.13795,1.13820,2789,8
2026-07-01 17:00:00+00:00,1.13822,1.13856,1.13788,1.13808,1682,8
2026-07-01 18:00:00+00:00,1.13808,1.13826,1.13751,1.13796,1397,8
2026-07-01 19:00:00+00:00,1.13796,1.13813,1.13770,1.13786,1097,8
2026-07-01 20:00:00+00:00,1.13783,1.13793,1.13736,1.13769,784,8
2026-07-01 21:00:00+00:00,1.13770,1.13784,1.13749,1.13782,296,8
2026-07-01 22:00:00+00:00,1.13782,1.13794,1.13768,1.13787,304,8
2026-07-01 23:00:00+00:00,1.13787,1.13787,1.13767,1.13772,342,8
2026-07-02 00:00:00+00:00,1.13772,1.13829,1.13746,1.13761,1273,8
2026-07-02 01:00:00+00:00,1.13761,1.13855,1.13759,1.13811,1228,8
2026-07-02 02:00:00+00:00,1.13811,1.13881,1.13807,1.13819,1046,8
2026-07-02 03:00:00+00:00,1.13818,1.13832,1.13777,1.13819,946,8
2026-07-02 04:00:00+00:00,1.13820,1.13881,1.13820,1.13864,1014,8
2026-07-02 05:00:00+00:00,1.13864,1.13884,1.13810,1.13852,1092,8
2026-07-02 06:00:00+00:00,1.13854,1.14040,1.13851,1.13942,2604,8
2026-07-02 07:00:00+00:00,1.13943,1.14088,1.13902,1.14074,2760,8
2026-07-02 08:00:00+00:00,1.14073,1.14208,1.14063,1.14198,3237,8
2026-07-02 09:00:00+00:00,1.14196,1.14207,1.14085,1.14095,2215,8
2026-07-02 10:00:00+00:00,1.14094,1.14111,1.14028,1.14102,1760,8
2026-07-02 11:00:00+00:00,1.14104,1.14142,1.14002,1.14037,1698,8
2026-07-02 12:00:00+00:00,1.14035,1.14723,1.13952,1.14510,9451,8
2026-07-02 13:00:00+00:00,1.14508,1.14551,1.14384,1.14502,6665,8
